"#","St","ML #","Property Sub Type","Subdivision Name","Close Date","List Price","Close Price","RMS Total","Address","City","Year Built","DOM","List Agent Full Name","List Agent Mls Id","Co List Agent Mls Id","Buyer Agent Full Name","Buyer Agent Mls Id","Co Buyer Agent Mls Id","District"
"501","S","A2013716","Semi Detached (Half Duplex)","Saddle Ridge","02/24/2023","$599,000.00","$593,000.00","2,091","122 Saddlelake Manor NE","Calgary","2022","86","Jagjit Dhillon","CDHILLJA3","","Olufolami Olupitan","COLUPIOL","","CAL Zone NE"
"501","S","A2024132","Detached","Woodlands","02/17/2023","$590,000.00","$592,000.00","1,904","516 Woodpark Crescent SW","Calgary","1976","8","Pia Blum","CBLUMPI","","Kathy Thirsk","CTHIRSKA","","CAL Zone S"
"501","S","A2024893","Detached","Valley Ridge","02/23/2023","$573,800.00","$591,500.00","1,981","12 Valley Meadow Crescent NW","Calgary","1994","12","Gerard Chiasson","CCHIASGE","","Perri Scarcelli","CSCARCPE","","CAL Zone W"
"501","S","A2024195","Detached","Huntington Hills","02/16/2023","$589,500.00","$591,000.00","1,265","6916 HUNTERBOW Crescent NW","Calgary","1968","7","Vic Scully","CSCULLVI","","Sam Askar","CASKARSA","","CAL Zone N"
"501","S","A2025853","Detached","Dalhousie","02/28/2023","$638,000.00","$590,000.00","1,366","5728 Dalmead Crescent NW","Calgary","1968","13","Rebecca Chamberlain","CCHAMBRE","","Ying Xin Sun","CSUNYI","","CAL Zone NW"
"501","S","A2024790","Detached","Killarney/Glengarry","02/16/2023","$589,900.00","$590,000.00","1,092","2416 37 Street SW","Calgary","1953","2","Paula Leemans","CLEEMAPA","","Gary Banipal","CBANIPGU","CBANIPSU","CAL Zone CC"
"501","S","A2024634","Semi Detached (Half Duplex)","Evergreen","02/21/2023","$599,900.00","$590,000.00","1,060","14 Evercreek Bluffs Place SW","Calgary","2005","10","Ernest Gardy","CGARDYER","","Lindy Bowler","CBOWLELI","","CAL Zone S"
"501","S","A2023291","Detached","Canyon Meadows","02/24/2023","$599,900.00","$590,000.00","1,248","719 Cantrell Drive SW","Calgary","1973","15","Jocelyn Legault","CLEGAUJO","","Gary Yip","CYIPGA","","CAL Zone S"
"501","S","A2022479","Detached","Evanston","02/16/2023","$599,750.00","$590,000.00","1,636","24 Evansdale Landing NW","Calgary","2010","14","Paul Ackerman","CACKERPA","","Wendy Wacko","CWACKOWE","","CAL Zone N"
"501","S","A2021283","Detached","Sage Hill","02/17/2023","$594,500.00","$590,000.00","1,509","180 Sage Valley Circle NW","Calgary","2010","8","Kim Twohey","CTWOHEKI","","Ashley Doull","CDOULLAS","","CAL Zone N"
"501","S","A2020814","Detached","Coventry Hills","02/24/2023","$589,000.00","$590,000.00","1,808","12101 Coventry Hills Way NE","Calgary","2004","13","Sergey Korostensky","CKOROSSE","CKOROSMA","Jaswinder Singh","CSINGHJA2","","CAL Zone N"
"501","S","A2020148","Row/Townhouse","Hillhurst","02/01/2023","$595,000.00","$590,000.00","1,217","1736 Kensington Road NW Unit#1","Calgary","2015","12","Aly Remtulla","CREMTUAL","","Jennifer Rekrutiak","CREKRUJE","","CAL Zone CC"
"501","S","A2020062","Row/Townhouse","Killarney/Glengarry","02/10/2023","$599,900.00","$590,000.00","1,230","2816 34 Street SW Unit#1","Calgary","2014","22","Sarah Johnston","CJOHNSSA1","","Helen Huang","CHUANGXI1","","CAL Zone CC"
"501","S","A2019917","Detached","Huntington Hills","02/27/2023","$599,900.00","$590,000.00","1,375","8019 Huntwick Crescent NE","Calgary","1970","40","Amir Halilovic","CHALILAM","","Randy Brown","CBROWNRA","","CAL Zone N"
"501","S","A2025915","Detached","Dalhousie","02/24/2023","$589,900.00","$589,900.00","1,704","5707 Dalhousie Drive NW","Calgary","1973","7","Gene Yamada","CYAMADGE","","Rajinder Sidhu","CSIDHURA2","","CAL Zone NW"
"501","S","A2022002","Detached","Haysboro","02/10/2023","$589,900.00","$589,500.00","1,319","91 Harcourt Road SW","Calgary","1959","8","Humaira Palibroda","CAHMEDHU","","Anna Lang","CLANGAN","","CAL Zone S"
"501","S","A2021563","Detached","Woodbine","02/17/2023","$599,000.00","$588,000.00","1,031","20 Woodfield Green SW","Calgary","1979","21","Piew Soe Saw","CSAWPI","","Geoffrey Price","CPRICEGE","","CAL Zone S"
"501","S","A2023471","Detached","Rutland Park","02/09/2023","$579,900.00","$587,000.00","1,116","3427 31 Street SW","Calgary","1953","3","Umair Lasi","CLASIUM","","John W. Wade","CWADEJO1","","CAL Zone W"
"501","S","A2019727","Detached","Somerset","02/15/2023","$599,900.00","$587,000.00","1,587","255 Somerset Drive SW","Calgary","1997","24","Derek Timmons","CTIMMODE","","David Johnston","CJOHNSDA3","","CAL Zone S"
"501","S","A2024997","Detached","Dalhousie","02/28/2023","$589,900.00","$586,500.00","1,080","56 Dalroy Crescent NW","Calgary","1968","15","Brian Skinner","CSKINNBR","","Mitch Thompson","CTHOMPMI1","CTHOMPIR","CAL Zone NW"
"501","S","A2024593","Detached","Cornerstone","02/27/2023","$584,900.00","$586,000.00","1,780","133 Corner Meadows Gardens","Calgary","2023","17","Arun Kaushal","CKAUSHAR","CSEKARSU","Harjinder Sandhu","CSANDHHA4","","CAL Zone NE"
"501","S","A2025467","Detached","Sunnyside","02/27/2023","$599,000.00","$585,000.00","702","939 5 Street NW","Calgary","1914","10","Susan Harrigan","CHARRIMA","","Chad Chapman","CCHAPMCH","","CAL Zone CC"
"501","S","A2023867","Detached","Cornerstone","02/17/2023","$584,988.00","$585,000.00","1,796","35 Cornerstone Green NE","Calgary","2022","9","Dan Sidhu","CSIDHUDH","","Olivia Ohuegbe","CUGORJOL","","CAL Zone NE"
"501","S","A2021395","Detached","Tuscany","02/14/2023","$599,900.00","$585,000.00","1,252","52 Tuscany Valley Lane NW","Calgary","1998","17","Susan Colley","CCOLLESU","","Lana Wright","CWRIGHLA","","CAL Zone NW"
"501","S","A2020594","Detached","Copperfield","02/15/2023","$599,900.00","$585,000.00","1,890","10 Copperpond Heath SE","Calgary","2013","4","Aman Goggar","CGOGGAAM","","John Reinbolt","CREINBJO","","CAL Zone SE"
"501","S","A2019329","Detached","Chaparral","02/01/2023","$598,900.00","$585,000.00","1,845","146 Chapman Close SE","Calgary","2004","7","Ame Nieuwoudt","CNIEUWAM","","Grady Krebs","CKREBSGR","","CAL Zone S"
"501","S","A2018077","Detached","Saddle Ridge","02/16/2023","$589,900.00","$585,000.00","1,955","8759 45 Street NE","Calgary","2022","38","Judit Sheikh","CSHEIKJU","","Kiranjot Pelia","CPELIAKI","","CAL Zone NE"
"501","S","A2012490","Detached","Walden","02/13/2023","$599,900.00","$585,000.00","1,790","164 Walden Parade SE","Calgary","2016","86","David Crick","CCRICKDA","CWADHWAM","Eman Chebli","CCHEBLEM","","CAL Zone S"
"501","S","A2011736","Detached","Bridgeland/Riverside","02/18/2023","$599,900.00","$585,000.00","975","433 10 Street NE","Calgary","1913","96","Amanda Priolo","CPRIOLAM","","Jessica Kushnir","CVETTEJE","","CAL Zone CC"
"501","S","A2019374","Row/Townhouse","Belvedere","02/15/2023","$599,900.00","$584,000.00","1,632","75 Belvedere Avenue SE","Calgary","2022","27","Bob Damji","CDAMJIME","CCHESSCO","Mark John","CJOHNMA","CHAVREJU",""
"501","S","A2019507","Detached","Huntington Hills","02/07/2023","$610,000.00","$581,622.00","1,846","302 huntham  Place NE","Calgary","1970","22","Amideus Chow","CCHOWAM","","Sean Na","CNASU","","CAL Zone N"
"501","S","A2026409","Detached","Hidden Valley","02/27/2023","$539,900.00","$581,000.00","1,385","169 Hidden Ranch Close NW","Calgary","1998","7","Lily Chan","CCHANLI","","Ray Neustaedter","CNEUSTRA","","CAL Zone N"
"501","S","A2024641","Detached","Lake Bonavista","02/21/2023","$550,000.00","$581,000.00","1,297","923 Lake Christina Way SE","Calgary","1970","10","Max Nizamov","CNIZAMMA","","Johnny Goyetche","CGOYETJO1","","CAL Zone S"
