"#","St","ML #","Property Sub Type","Subdivision Name","Close Date","List Price","Close Price","RMS Total","Address","City","Year Built","DOM","List Agent Full Name","List Agent Mls Id","Co List Agent Mls Id","Buyer Agent Full Name","Buyer Agent Mls Id","Co Buyer Agent Mls Id","District"
"1","S","A2062629","Detached","Discovery Ridge","07/03/2023","$1,635,000.00","$1,633,000.00","3,375","31 Discovery Ridge Mount SW","Calgary","2004","1","David Pellettier","CPELLEDA","","David Pellettier","CPELLEDA","","CAL Zone W"
"1","S","A2059752","Detached","Springbank Hill","07/21/2023","$1,699,999.00","$1,620,000.00","3,420","50 Spring Valley Mews SW","Calgary","2004","30","Shawn Rasmussen","CRASMUSH","","Ali Farhadbakht","CFARHAAL1","","CAL Zone W"
"1","S","A2053870","Detached","Valley Ridge","07/07/2023","$1,725,000.00","$1,560,000.00","3,869","23 Valley Pointe View NW","Calgary","2015","31","Nadine Rife","CRIFENA","","Jason Ngo","CNGODA1","","CAL Zone W"
"1","S","A2050175","Detached","Currie Barracks","07/15/2023","$1,599,900.00","$1,550,000.00","2,846","11 Tommy Prince Road SW","Calgary","2014","50","Ken MacAulay","CMACAUKE1","CGOSSST","Craig Lamb","CLAMBCR","CGOGOLME","CAL Zone W"
"1","S","A2013772","Detached","Inglewood","07/14/2023","$1,662,500.00","$1,547,500.00","3,762","1602 16A Street SE","Calgary","2016","227","Justin Havre","CHAVREJU","CBOYERJO","Clinton Willies","CWILLICL","","CAL Zone CC"
"1","S","A2058968","Detached","Springbank Hill","07/07/2023","$1,599,000.00","$1,530,000.00","2,994","172 Slopeview Drive SW","Calgary","2003","13","Ruth Alexander","CALEXAMA","","Diana Secrieru","CSECRIDI","","CAL Zone W"
"1","S","A2049349","Detached","Springbank Hill","07/14/2023","$1,599,000.00","$1,525,000.00","3,111","160 Fortress Bay SW","Calgary","2010","44","Marnie Campbell","CCAMPBMA1","","Chris Fullerton","CFULLECH","","CAL Zone W"
"1","S","A2063774","Detached","Springbank Hill","07/11/2023","$1,475,000.00","$1,520,000.00","1,922","7 Spring Valley Mews SW","Calgary","2004","4","Waleed Idriess","CIDRIEWA","CHALILAM","Karen MacPherson","CMACPHKA1","","CAL Zone W"
"1","S","A2066218","Detached","Capitol Hill","07/28/2023","$1,497,000.00","$1,497,000.00","3,251","1727 23 Avenue NW","Calgary","2023","13","Mengyao Qi","CQIME","","Josh Giesbrecht","CGIESBJO","","CAL Zone CC"
"1","S","A2067403","Apartment","Eau Claire","07/27/2023","$1,480,000.00","$1,480,000.00","2,432","600 Princeton Way SW Unit#603","Calgary","2007","6","Elaine Wiens","CWIENSEL","","Kirby Cox","CCOXKI","","CAL Zone CC"
