"#","St","ML #","Property Sub Type","Subdivision Name","Close Date","List Price","Close Price","RMS Total","Address","City","Year Built","DOM","List Agent Full Name","List Agent Mls Id","Co List Agent Mls Id","Buyer Agent Full Name","Buyer Agent Mls Id","Co Buyer Agent Mls Id","District"
"501","S","A2069427","Semi Detached (Half Duplex)","Livingston","08/04/2023","$549,900.00","$546,000.00","1,348","962 Livingston Way NE","Calgary","2017","7","Humberto Pineda Leon","CPINEDHU","CRODRICE","Vincent Phan","CPHANVI","","CAL Zone N"
"501","S","A2066584","Detached","Shawnessy","08/01/2023","$550,000.00","$545,000.00","1,213","128 Shawbrooke Circle SW","Calgary","1992","5","Zee Zebian","CZEBIANA","","Richard Fleming","CFLEMIRI","","CAL Zone S"
"501","S","A2066498","Detached","Martindale","08/17/2023","$549,900.00","$545,000.00","1,278","32 Martinridge Way NE","Calgary","1992","30","Satwinder Lombsar","CLOMBSSA","","Navroz Atwal","CATWALNA","","CAL Zone NE"
"501","S","A2064332","Semi Detached (Half Duplex)","Belvedere","08/04/2023","$559,900.00","$545,000.00","1,403","42 Belvedere Common SE","Calgary","2023","22","Raman Chahal","CCHAHARA3","CDHILLHA3","Mae Aguilar","CTROGOED","",""
"501","S","A2060360","Detached","Tuxedo Park","08/11/2023","$559,800.00","$545,000.00","958","210 18 Avenue NE","Calgary","1952","14","Kevin MacMillan","CMACMIKE","CMACMIBR","Larry Tang","CTANGLA","","CAL Zone CC"
"501","S","A2072503","Detached","McKenzie Lake","08/15/2023","$540,000.00","$544,000.00","1,367","956 Mckenzie Drive SE","Calgary","1983","4","Barry Klatt","CKLATTBA","CCULHACY","Nathan Leech","CLEECHNA","","CAL Zone SE"
"501","S","A2069797","Apartment","Bridgeland/Riverside","08/15/2023","$550,000.00","$544,000.00","1,043","46 9 Street NE Unit#209","Calgary","2016","15","Joanna Barstad","CBARSTJO","","Melody Chynoweth","CCHYNOME","","CAL Zone CC"
"501","S","A2064905","Detached","Sunalta","08/09/2023","$529,900.00","$543,000.00","928","1613 15 Avenue SW","Calgary","1912","23","Leslie Schmeiler","CSCHMELE","","Jennifer McIntosh","CMCINTJE","COSTBYJA","CAL Zone CC"
"501","S","A2063633","Semi Detached (Half Duplex)","Belvedere","08/21/2023","$564,900.00","$542,000.00","1,466","58 belvedere Common SE","Calgary","2023","46","Harry Mann","CMANNHA1","CGILLAM4","Amandeep Gill","CGILLAM4","",""
"501","S","A2062206","Detached","Canyon Meadows","08/04/2023","$550,000.00","$542,000.00","1,170","135 Cantrell Place SW","Calgary","1973","35","Dale Green","CGREENDA1","","Geoffrey Gordon","CGORDOGE","","CAL Zone S"
